Sno;Province/State;Country;Time;Confirmed;Deaths;Recovered;
316;;Sri Lanka;23:00;1.0;0.0;0.0;
317;New South Wales;Australia;23:00;4.0;0.0;0.0;
318;Victoria;Australia;23:00;1.0;0.0;0.0;
319;Bavaria;Germany;23:00;4.0;0.0;0.0;
320;Hubei;Mainland China;21:00;4586.0;162.0;90.0;
321;Zhejiang;Mainland China;21:00;428.0;0.0;4.0;
322;Guangdong;Mainland China;21:00;311.0;0.0;6.0;
323;Henan;Mainland China;21:00;278.0;2.0;2.0;
324;Hunan;Mainland China;21:00;277.0;0.0;0.0;
325;Anhui;Mainland China;21:00;200.0;0.0;2.0;
326;Chongqing;Mainland China;21:00;165.0;0.0;1.0;
327;Jiangxi;Mainland China;21:00;162.0;0.0;4.0;
328;Shandong;Mainland China;21:00;145.0;0.0;1.0;
329;Sichuan;Mainland China;21:00;142.0;1.0;1.0;
330;Jiangsu;Mainland China;21:00;129.0;0.0;1.0;
331;Beijing;Mainland China;21:00;111.0;1.0;4.0;
332;Shanghai;Mainland China;21:00;101.0;1.0;5.0;
333;Fujian;Mainland China;21:00;101.0;0.0;0.0;
334;Guangxi;Mainland China;21:00;78.0;0.0;2.0;
335;Hebei;Mainland China;21:00;65.0;1.0;0.0;
336;Shaanxi;Mainland China;21:00;56.0;0.0;0.0;
337;Yunnan;Mainland China;21:00;55.0;0.0;0.0;
338;Hainan;Mainland China;21:00;43.0;1.0;0.0;
339;Heilongjiang;Mainland China;21:00;43.0;1.0;0.0;
340;Liaoning;Mainland China;21:00;39.0;0.0;1.0;
341;Shanxi;Mainland China;21:00;35.0;0.0;1.0;
342;Tianjin;Mainland China;21:00;27.0;0.0;0.0;
343;Gansu;Mainland China;21:00;26.0;0.0;0.0;
344;Inner Mongolia;Mainland China;21:00;16.0;0.0;0.0;
345;Jilin;Mainland China;21:00;14.0;0.0;1.0;
346;Xinjiang;Mainland China;21:00;14.0;0.0;0.0;
347;Guizhou;Mainland China;21:00;12.0;0.0;1.0;
348;Ningxia;Mainland China;21:00;12.0;0.0;0.0;
349;Hong Kong;Hong Kong;21:00;10.0;0.0;0.0;
350;Taiwan;Taiwan;21:00;8.0;0.0;0.0;
351;Macau;Macau;21:00;7.0;0.0;0.0;
352;Qinghai;Mainland China;21:00;6.0;0.0;0.0;
353;Tibet;Mainland China;21:00;1.0;0.0;0.0;
354;Washington;US;21:00;1.0;0.0;0.0;
355;Illinois;US;21:00;1.0;0.0;0.0;
356;California;US;21:00;2.0;0.0;0.0;
357;Arizona;US;21:00;1.0;0.0;0.0;
358;;Japan;21:00;11.0;0.0;1.0;
359;;Thailand;21:00;14.0;0.0;5.0;
360;;South Korea;21:00;4.0;0.0;0.0;
361;;Singapore;21:00;10.0;0.0;0.0;
362;;Vietnam;21:00;2.0;0.0;0.0;
363;;France;21:00;5.0;0.0;0.0;
364;;Nepal;21:00;1.0;0.0;0.0;
365;;Malaysia;21:00;7.0;0.0;0.0;
366;Ontario;Canada;21:00;2.0;0.0;0.0;
367;British Columbia;Canada;21:00;1.0;0.0;0.0;
368;;Cambodia;21:00;1.0;0.0;0.0;
369;;Sri Lanka;21:00;1.0;0.0;0.0;
370;New South Wales;Australia;21:00;4.0;0.0;0.0;
371;Victoria;Australia;21:00;2.0;0.0;0.0;
372;Queensland;Australia;21:00;1.0;0.0;0.0;
373;Bavaria;Germany;21:00;4.0;0.0;0.0;
374;;Finland;21:00;1.0;0.0;0.0;
375;;United Arab Emirates;21:00;4.0;0.0;0.0;
376;Hubei;Mainland China;21:30;5806.0;204.0;116.0;
377;Zhejiang;Mainland China;21:30;537.0;0.0;9.0;
378;Guangdong;Mainland China;21:30;393.0;0.0;11.0;
379;Henan;Mainland China;21:30;352.0;2.0;3.0;
380;Hunan;Mainland China;21:30;332.0;0.0;2.0;
381;Jiangxi;Mainland China;21:30;240.0;0.0;7.0;
382;Anhui;Mainland China;21:30;237.0;0.0;3.0;
383;Chongqing;Mainland China;21:30;206.0;0.0;1.0;
384;Shandong;Mainland China;21:30;178.0;0.0;2.0;
385;Sichuan;Mainland China;21:30;177.0;1.0;1.0;
386;Jiangsu;Mainland China;21:30;168.0;0.0;2.0;
387;Shanghai;Mainland China;21:30;128.0;1.0;9.0;
388;Beijing;Mainland China;21:30;121.0;1.0;5.0;
389;Fujian;Mainland China;21:30;101.0;0.0;0.0;
390;Guangxi;Mainland China;21:30;87.0;0.0;2.0;
391;Hebei;Mainland China;21:30;82.0;1.0;0.0;
392;Yunnan;Mainland China;21:30;76.0;0.0;0.0;
393;Shaanxi;Mainland China;21:30;87.0;0.0;0.0;
394;Heilongjiang;Mainland China;21:30;59.0;2.0;0.0;
395;Hainan;Mainland China;21:30;50.0;1.0;1.0;
396;Liaoning;Mainland China;21:30;45.0;0.0;1.0;
397;Shanxi;Mainland China;21:30;39.0;0.0;1.0;
398;Tianjin;Mainland China;21:30;32.0;0.0;0.0;
399;Gansu;Mainland China;21:30;29.0;0.0;0.0;
400;Ningxia;Mainland China;21:30;21.0;0.0;1.0;
401;Inner Mongolia;Mainland China;21:30;20.0;0.0;0.0;
402;Xinjiang;Mainland China;21:30;17.0;0.0;0.0;
403;Guizhou;Mainland China;21:30;15.0;0.0;1.0;
404;Jilin;Mainland China;21:30;14.0;0.0;1.0;
405;Hong Kong;Hong Kong;21:30;12.0;0.0;0.0;
406;Taiwan;Taiwan;21:30;9.0;0.0;0.0;
407;Qinghai;Mainland China;21:30;8.0;0.0;0.0;
408;Macau;Macau;21:30;7.0;0.0;0.0;
409;Tibet;Mainland China;21:30;1.0;0.0;0.0;
410;Washington;US;21:30;1.0;0.0;0.0;
411;Illinois;US;21:30;2.0;0.0;0.0;
412;California;US;21:30;2.0;0.0;0.0;
413;Arizona;US;21:30;1.0;0.0;0.0;
414;;Japan;21:30;11.0;0.0;1.0;
415;;Thailand;21:30;14.0;0.0;5.0;
416;;South Korea;21:30;6.0;0.0;0.0;
417;;Singapore;21:30;10.0;0.0;0.0;
418;;Vietnam;21:30;2.0;0.0;0.0;
419;;France;21:30;5.0;0.0;0.0;
420;;Nepal;21:30;1.0;0.0;0.0;
421;;Malaysia;21:30;8.0;0.0;0.0;
422;Ontario;Canada;21:30;2.0;0.0;0.0;
423;British Columbia;Canada;21:30;1.0;0.0;0.0;
424;;Cambodia;21:30;1.0;0.0;0.0;
425;;Sri Lanka;21:30;1.0;0.0;0.0;
426;New South Wales;Australia;21:30;4.0;0.0;2.0;
427;Victoria;Australia;21:30;2.0;0.0;0.0;
428;Queensland;Australia;21:30;3.0;0.0;0.0;
429;Bavaria;Germany;21:30;4.0;0.0;0.0;
430;;Finland;21:30;1.0;0.0;0.0;
431;;United Arab Emirates;21:30;4.0;0.0;0.0;
432;;Philippines;21:30;1.0;0.0;0.0;
433;;India;21:30;1.0;0.0;0.0;
434;;Italy;21:30;2.0;0.0;0.0;
435;Hubei;Mainland China;19:00;7153.0;249.0;169.0;
436;Zhejiang;Mainland China;19:00;537.0;0.0;14.0;
437;Guangdong;Mainland China;19:00;436.0;0.0;10.0;
438;Henan;Mainland China;19:00;352.0;2.0;3.0;
439;Hunan;Mainland China;19:00;332.0;0.0;3.0;
440;Jiangxi;Mainland China;19:00;240.0;0.0;7.0;
441;Chongqing;Mainland China;19:00;238.0;1.0;1.0;
442;Anhui;Mainland China;19:00;237.0;0.0;3.0;
443;Shandong;Mainland China;19:00;184.0;0.0;2.0;
444;Sichuan;Mainland China;19:00;177.0;1.0;1.0;
445;Jiangsu;Mainland China;19:00;168.0;0.0;5.0;
446;Shanghai;Mainland China;19:00;153.0;1.0;9.0;
447;Beijing;Mainland China;19:00;139.0;1.0;5.0;
448;Fujian;Mainland China;19:00;120.0;0.0;0.0;
449;Hebei;Mainland China;19:00;96.0;1.0;0.0;
450;Guangxi;Mainland China;19:00;88.0;0.0;2.0;
451;Shaanxi;Mainland China;19:00;87.0;0.0;0.0;
452;Yunnan;Mainland China;19:00;83.0;0.0;1.0;
453;Liaoning;Mainland China;19:00;60.0;0.0;1.0;
454;Heilongjiang;Mainland China;19:00;59.0;2.0;0.0;
455;Hainan;Mainland China;19:00;58.0;1.0;1.0;
456;Shanxi;Mainland China;19:00;47.0;0.0;1.0;
457;Gansu;Mainland China;19:00;35.0;0.0;0.0;
458;Tianjin;Mainland China;19:00;32.0;0.0;0.0;
459;Guizhou;Mainland China;19:00;29.0;0.0;2.0;
460;Ningxia;Mainland China;19:00;21.0;0.0;1.0;
461;Inner Mongolia;Mainland China;19:00;20.0;0.0;0.0;
462;Xinjiang;Mainland China;19:00;17.0;0.0;0.0;
463;Jilin;Mainland China;19:00;14.0;0.0;1.0;
464;Hong Kong;Hong Kong;19:00;13.0;0.0;0.0;
465;Taiwan;Taiwan;19:00;10.0;0.0;0.0;
466;Qinghai;Mainland China;19:00;8.0;0.0;0.0;
467;Macau;Macau;19:00;7.0;0.0;0.0;
468;Tibet;Mainland China;19:00;1.0;0.0;0.0;
469;Washington;US;19:00;1.0;0.0;0.0;
470;Illinois;US;19:00;2.0;0.0;0.0;
471;California;US;19:00;3.0;0.0;0.0;
472;Arizona;US;19:00;1.0;0.0;0.0;
473;;Japan;19:00;17.0;0.0;1.0;
474;;Thailand;19:00;19.0;0.0;7.0;
475;;South Korea;19:00;11.0;0.0;0.0;
476;;Singapore;19:00;16.0;0.0;0.0;
477;;Vietnam;19:00;2.0;0.0;0.0;
478;;France;19:00;6.0;0.0;0.0;
479;;Nepal;19:00;1.0;0.0;0.0;
